date,isin,tidm,price
2023-12-01,GB00BPJJKP77,TR43,101.23
2023-12-01,GB00B421JZ66,TR50,80.96
2023-12-01,GB00BMBL1D50,TG61,28.96
2023-12-01,GB00BLPK7227,TG29,83.67
2023-12-01,GB00B73ZYW09,TG52,74.17
2023-12-01,GB00BLPK7110,TN25,95.09
2023-12-01,GB00BMGR2809,TG31,75.26
2023-12-01,GB00BYY5F144,TR26,98.26
2023-12-01,GB00BNNGP882,TG51,71.76
2023-12-01,GB00BD9MZZ71,TR65,64.37
2023-12-01,GB00BZ13DV40,TG48,74.285
2023-12-01,GB00BZ1NTB69,T28,98.66
2023-12-01,GB00BNNGP551,TR31,97.61
2023-12-01,GB00BGDYHF49,T41,83.65
2023-12-01,GB00B3Y1JG82,T29,97.96
2023-12-01,GB00BYZW3J87,TG36,90.92
2023-12-01,GB00BYMWG366,TR46,76.64
2023-12-01,GB00BM8Z2W66,TG73,66.45
2023-12-01,GB00B7RN0G65,T44,79.24
2023-12-01,GB00BP9DLZ64,T58,67.21
2023-12-01,GB00B85SFQ54,TR24,99
2023-12-01,GB00BDX8CX86,T68,63.66
2023-12-01,GB00BYVP4K94,TR56,68.33
2023-12-01,GB00BLH38265,TG39,86.35
2023-12-01,GB00BL68HJ26,T26,91.6
2023-12-01,GB00BMGR2791,TN24,99.22
2023-12-01,GB00BMBL1G81,TN28,85.24
2023-12-01,GB00B46CGH68,TRTQ,100.29
2023-12-01,GB00BMF9LJ15,T33,101.055
2023-12-01,GB00B4PTCY75,T62,72.77
2023-12-01,GB00BNNGP668,T26A,89.79
2023-12-01,GB00BL68HH02,TG30,78.38
2023-12-01,GB00B3LZBF68,TR40,92.62
2023-12-01,GB00B3MYD345,T42A,90.35
2023-12-01,GB00BMF9LH90,TR45,87.05
2023-12-01,GB00BK5CVX03,TG25,94.45
2023-12-01,GB00BMBL1F74,TG50,38.94
2023-12-01,GB00BMGR2916,TG35,66.59
2023-12-01,GB00BM8Z2S21,TG33,74.04
2023-12-01,GB00BJMHB534,TR29,83.97
2023-12-01,GB00BNNGP775,TG46,48.19
2023-12-01,GB00BM8Z2V59,TG53,49.76
2023-12-01,GB00BYZW3G56,TG26,93.33
2023-12-01,GB00BDCHBW80,TG47,54.95
2023-12-01,GB00BDRHNP05,TG27,90.66
2023-12-01,GB00B128DH60,T27,103.2
2023-12-01,GB00B0CNHZ09,TR8F,97.88
2023-12-01,GB00B3D4VD98,T32,106.11
2023-12-01,GB00BJQWYH73,TG41,59.67
2023-12-01,GB00BLH38158,T51A,47.54
2023-12-01,GB00B1L6W962,TR37,102.33
2023-12-01,GB00BLBDX619,TR73,35.78
2023-12-01,GB00BLPK7334,TR39,63.04
2023-12-01,GB00BZB26Y51,TG37,72.6
2023-12-01,GB00BFWFPP71,TG49,57.23
2023-12-01,GB00BD0XH204,TG57,51.94
2023-12-01,GB00BJLR0J16,TR54,51.01
2023-12-01,GB00BFMCN652,TG71,45.52
2023-12-01,GB00BFX0ZL78,TG28,89.73
2023-12-01,GB00BFWFPL34,TG24,98.47
2023-12-01,GB00BM8Z2T38,TG32,78.78
2023-12-01,GB00BYYMZX75,TG65,62.55
2023-12-01,GB00BHBFH458,T24,98.46
2023-12-01,GB0031790826,T2IL,241.46
2023-12-01,GB00BTHH2R79,T25,95.95
2023-12-01,GB00BN65R313,T45,84.27
2023-12-01,GB00BBJNQY21,TR68,80.93
2023-12-01,GB00BPCJD880,TY25,98.19
2023-12-01,GB00BMV7TC88,TR33,93.24
2023-12-01,GB00B84Z9V04,TG44,81.61
2023-12-01,GB00BPCJD997,T53,85.11
2023-12-01,GB00BQC4R999,TG38,92.39
2023-12-01,GB00B6RNH572,T52,85.63
2023-12-01,GB00B24FFM16,T47,87.82
2023-12-01,GB00BMF9LG83,TS28,101.6
2023-12-01,GB00B1VWPJ53,T42,98.52
2023-12-01,GB00B52WS153,TR34,102.19
2023-12-01,GB00B16NNR78,TR27,100.69
2023-12-01,GB00B3KJDS62,T39,96.82
2023-12-01,GB00B128DP45,T46,93.97
2023-12-01,GB00B39R3707,T49,93.52
2023-12-01,GB0004893086,TR32,101.43
2023-12-01,GB0032452392,T4Q,99.39
2023-12-01,GB00B6460505,T40,96.17
2023-12-01,GB00B06YGN05,TR4Q,93.47
2023-12-01,GB0008932666,T30I,340.02
2023-12-01,GB00BL6C7720,T27A,99.7
2023-12-01,GB00B24FF097,TR30,104.5
2023-12-01,GB00B00NY175,TR38,102.96
2023-12-01,GB00BPJJKN53,T34,103.2
2023-12-01,GB00B54QLM75,TR60,89.91
2023-12-01,GB00BMF9LF76,TR63,89.66
2023-12-01,GB0030880693,TR25,100.4
2023-12-01,GB0002404191,TR28,108.85
2023-12-01,GB0008983024,T24I,381.31
